,dev,commit
0,danielbachhuber,982
1,scribu,1983
2,schlessera,0
3,ernilambar,0
4,gitlost,0
5,miya0001,14
6,jmslbam,90
7,rodrigoprimo,69
8,szepeviktor,54
9,andreascreten,61
10,GaryJones,0
11,johnbillion,43
12,jrfnl,0
13,thrijith,0
14,gilbitron,0
15,wojsmol,1
16,aaemnnosttv,0
17,lkwdwrd,29
18,nyordanov,23
19,hideokamoto,0
20,goldenapples,24
21,leewillis77,24
22,ocean90,2
23,trepmal,21
24,dependencies-bot,0
25,villevuor,0
26,getsource,20
27,acusti,18
28,jtsternberg,17
29,mwilliamson-red-gate,17
30,mwilliamson,17
31,eugeneware,16
32,mpeshev,16
33,sebastiaandegeus,16
34,cyberhobo,15
35,francescolaffi,15
36,mbovel,0
37,tlovett1,15
38,pierre-dargham,0
39,westonruter,13
40,stephenharris,0
41,JPry,12
42,Sidsector9,0
43,stevegrunwell,11
44,boonebgorges,10
45,swissspidy,0
46,wesm87,0
47,apertureless,0
48,Rarst,6
49,shadyvb,0
50,chriszarate,0
51,ejdanderson,9
52,mboynes,9
53,JRGould,2
54,killua99,0
55,NateWr,0
56,conatus,8
57,mattheu,8
58,om4james,8
59,Japh,7
60,man4toman,0
61,itsananderson,7
62,balbuf,0
63,janw-me,0
64,modelm,0
65,SpikesDivZero,6
66,PatelUtkarsh,0
67,ctayloroomphinc,6
68,jacobischwartz,0
69,matiskay,6
70,roelven,6
71,voldemortensen,0
72,austinginder,0
73,montchr,5
74,mmcev106,0
75,petenelson,0
76,Ramoonus,0
77,rosswintle,0
78,tillkruss,0
79,WhiteWinterWolf,0
80,clemens-tolboom,5
81,j3lamp,5
82,oneumyvakin,5
83,spuriousdata,5
84,KushibikiMashu,0
85,Nikschavan,0
86,nikolay,5
87,chesio,0
88,diablodale,0
89,fjarrett,0
90,torounit,0
91,Ippey,0
92,jacobmc,0
93,keeth,4
94,ShinichiNishikawa,0
95,TimothyBJacobs,0
96,ericgopak,0
97,thanj,4
98,johnpbloch,4
99,joshbetz,4
100,milesj,4
101,ozh,4
102,roelveldhuizen,0
103,tollmanz,4
104,diggy,0
105,pmbaldha,0
106,akkspros,0
107,wpamitkumar,0
108,heiglandreas,3
109,XedinUnknown,0
110,jbwtech,0
111,CodeProKid,0
112,kkoppenhaver,0
113,kirtangajjar,0
114,andyexeter,0
115,borekb,2
116,c10b10,3
117,dishitpala,0
118,ericandrewlewis,3
119,erwanlr,3
120,jeichorn,3
121,mattes,3
122,nb,3
123,nullvariable,3
124,jamesacollins,3
125,simonwheatley,3
126,tddewey,3
127,websupporter,0
128,desrosj,0
129,vsamoletov,0
130,gedex,1
131,localheinz,0
132,bobbywalters,2
133,bradp,1
134,coreyworrell,0
135,dmleach,0
136,dgroddick,0
137,duncanjbrown,0
138,enrico-sorcinelli,0
139,gmcinnes,0
140,nylen,0
141,jorgeatorres,0
142,jjeaton,0
143,kcarwile,0
144,marcaddeo,2
145,markjaquith,0
146,markkimsal,0
147,msaggiorato,0
148,morganestes,2
149,mukeshpanchal27,0
150,mundschenk-at,0
151,pdaalder,0
152,pippinsplugins,2
153,rmccue,1
154,ntwb,1
155,Steveorevo,0
156,tiagohillebrandt,0
157,VladimirAus,0
158,robertmarsal,2
159,santagada,2
160,tfrommen,0
161,toszcze,2
162,yivi,2
163,2ndkauboy,1
164,nickdaugherty,1
165,abhijitrakas,0
166,Viper007Bond,1
167,anantshri,0
168,apanchal7,0
169,atimmer,0
170,atanas-dev,0
171,behzod,0
172,bgturner,0
173,JulioPotier,1
174,kraftbj,0
175,ediamin,0
176,edueo,0
177,edpittol,0
178,freegenie,0
179,staude,0
180,fjarrett-godaddy,0
181,soulseekah,0
182,geo4orce,0
183,grantpalin,0
184,greg-1-anderson,0
185,gfolin,0
186,henrywright,0
187,Calinou,0
188,iandunn,0
189,whyisjake,0
190,JanVoracek,1
191,octalmage,0
192,Juberstine,0
193,itspriddle,0
194,junaidbhura,0
195,kapilpaul,0
196,Kevinlearynet,1
197,Crixu,0
198,marco-c,0
199,mkaz,0
200,hason,0
201,MattiaG,1
202,mdawaffe,0
203,migueldemoura,0
204,x1024,0
205,ScreamingDev,0
206,zzap,0
207,mircobabini,0
208,kadimi,0
209,n8finch,0
210,ottok,0
211,ovidiul,0
212,pkarjala,0
213,tyrann0us,0
214,rachelbaker,0
215,ypid,0
216,ryanshoover,0
217,stodorovic,0
218,stefthoen,0
219,stevector,0
220,stevenkword,0
221,shulard,0
222,lordspace,1
223,timdream,0
224,tristanpenman,0
225,vbaranovskiy-plesk,0
226,wturrell,1
227,mrkaluzny,0
228,yahilmadakiya,0
229,amq,0
230,builtbylane,1
231,chetansatasiya,0
232,daithi-coombes,1
233,dilipbheda,0
234,dlh01,1
235,dwightjack,1
236,eliorivero,1
237,ericmann,1
238,freezy-sk,0
239,ramondelafuente,1
240,glebis,1
241,hinaloe,0
242,inderpreet99,0
243,jghazally,1
244,jonathanbardo,1
245,joshlevinson,1
246,joshstoik1,1
247,lackingpenguin,1
248,lichtscheu,0
249,marcoceppi,1
250,metodiew,0
251,gradyetc,1
252,here,1
253,mn7zDev,0
254,mwithheld,1
255,nacin,1
256,navitronic,1
257,oknoway,1
258,ryotsun,0
259,sagarnasit,0
260,sboisvert,1
261,sibprogrammer,1
262,smhmic,1
263,ssnepenthe,0
264,stianlik,1
265,taupecat,1
266,thisislawatts,1
267,twisty,1
268,veganista,0
269,willmot,1
